"lambda","RSS","df","BIC","is_best"
100,1.40311841450536,0,0.33869719848917,TRUE
71.9685673001152,1.40311841450536,0,0.33869719848917,FALSE
51.7947467923121,1.40311841450536,0,0.33869719848917,FALSE
37.2759372031494,1.40311841450536,0,0.33869719848917,FALSE
26.8269579527973,1.40311841450536,0,0.33869719848917,FALSE
19.3069772888325,1.40311841450536,0,0.33869719848917,FALSE
13.8949549437314,1.40311841450536,0,0.33869719848917,FALSE
10,1.40311841450536,0,0.33869719848917,FALSE
7.19685673001152,1.40311841450536,0,0.33869719848917,FALSE
5.17947467923121,1.40311841450536,0,0.33869719848917,FALSE
3.72759372031494,1.40311841450536,0,0.33869719848917,FALSE
2.68269579527973,1.40311841450536,0,0.33869719848917,FALSE
1.93069772888325,1.40311841450536,0,0.33869719848917,FALSE
1.38949549437314,1.40311841450536,0,0.33869719848917,FALSE
1,1.40311841450536,0,0.33869719848917,FALSE
0.719685673001152,1.40311841450536,0,0.33869719848917,FALSE
0.517947467923121,1.40311841450536,0,0.33869719848917,FALSE
0.372759372031494,1.40311841450536,0,0.33869719848917,FALSE
0.268269579527973,1.40311841450536,0,0.33869719848917,FALSE
0.193069772888325,1.40311841450536,0,0.33869719848917,FALSE
0.138949549437314,1.40311841450536,0,0.33869719848917,FALSE
0.1,1.40311841450536,0,0.33869719848917,FALSE
0.0719685673001152,1.40311841450536,0,0.33869719848917,FALSE
0.0517947467923121,1.40311841450536,0,0.33869719848917,FALSE
0.0372759372031494,1.40311841450536,0,0.33869719848917,FALSE
0.0268269579527973,1.40311841450536,0,0.33869719848917,FALSE
0.0193069772888325,1.40311841450536,0,0.33869719848917,FALSE
0.0138949549437314,1.38329464346022,3,0.402988362004952,FALSE
0.01,1.26098267957327,12,0.545972463037432,FALSE
0.00719685673001153,1.15761962641615,17,0.591314134552922,FALSE
0.00517947467923121,1.07033211858723,22,0.643784417815549,FALSE
0.00372759372031495,0.971792548596749,29,0.730416500907238,FALSE
0.00268269579527973,0.882988066289054,39,0.896320116828321,FALSE
0.00193069772888325,0.81575168007305,47,1.02650585403796,FALSE
0.00138949549437314,0.749462423023657,57,1.20348632393111,FALSE
0.001,0.691534027772983,70,1.46329707232272,FALSE
0.000719685673001153,0.616561910016542,86,1.76731830860678,FALSE
0.000517947467923121,0.531894038186773,101,2.01220528946741,FALSE
0.000372759372031495,0.461579052944507,107,2.02745490204167,FALSE
0.000268269579527973,0.415518703813961,108,1.94850262406037,FALSE
0.000193069772888325,0.389180884722956,109,1.90919265887774,FALSE
0.000138949549437314,0.37113149083272,108,1.83553141812621,FALSE
1e-04,0.357773302373147,121,2.13912911789745,FALSE
7.19685673001153e-05,0.337776754740684,127,2.23865532480873,FALSE
5.17947467923121e-05,0.316515536698324,132,2.30450960829206,FALSE
3.72759372031495e-05,0.299701592417996,138,2.40696513730941,FALSE
2.68269579527973e-05,0.287805891024769,140,2.41881096996951,FALSE
1.93069772888325e-05,0.27732289724823,143,2.46022751329899,FALSE
1.38949549437314e-05,0.269725982058941,144,2.45862498283117,FALSE
1e-05,0.265566278015309,146,2.49542972161074,FALSE
